channel,bill_naive,bill_oracle,bill_det,saved_det,frac_det,bill_sto,saved_sto,frac_sto,value_of_dist
83,84056.76,81487.3542997825,82224.81900905239,1831.940990947609,0.7129823798524842,82214.35486987479,1842.4051301252039,0.7170549711045038,10.464139177594916
90,125148.59,115343.66915778998,115445.12645381999,9703.463546180006,0.9896524104923681,115440.11794387299,9708.472056127008,0.9901632264415842,5.008509947001585
105,61917.35,60129.51889238,62154.797545288005,-237.44754528800695,-0.1328131859189444,62533.552345331016,-616.2023453310176,-0.3446647408162176,-378.7548000430106
106,71019.48,67409.26215723489,70101.07312935399,918.4068706460093,0.25439098432425633,70297.660084842,721.8199151579902,0.19993804988929414,-196.58695548801916
294,368598.71,344504.51333652704,344636.69107933843,23962.01892066159,0.9945141253448899,344573.94040984695,24024.769590153068,0.9971185147075204,62.75066949147731
303,202749.76,185630.562836934,186192.582443256,16557.17755674402,0.9671702124247669,185993.907092646,16755.852907354012,0.9787756252672934,198.67535060999217
TOTAL,913490.6499999999,854504.8806806484,860755.0896601088,52735.56033989112,0.894038696933467,861053.5327464137,52437.117253586184,0.8889791191785487,-298.4430863049347
